,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
2125,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2126,Rajabai Clock Tower,"An iconic landmark in Mumbai, the Rajabai Clock Tower is known for its Gothic architecture and intricate carvings. Visitors can admire the tower's beauty, learn about its history, and enjoy panoramic views of the city from the top.",Historical Landmark,Free entry,,,0.9153,Maharastra
2127,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community. Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2128,Kala Ghoda Art Precinct,"A vibrant cultural district in South Mumbai, the Kala Ghoda Art Precinct is home to art galleries, museums, theaters, and cafes. Visitors can explore contemporary art, attend cultural events, and immerse themselves in Mumbai's creative scene.",Cultural District,Varies based on event,,,0.743,Maharastra
2129,Nehru Planetarium,"An educational and scientific institution in Mumbai, the Nehru Planetarium offers astronomy shows, stargazing sessions, and interactive exhibits on space science. Visitors can learn about the universe, galaxies, and celestial phenomena.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.0,Maharastra
2130,Bandra-Worli Sea Link,"A modern architectural marvel, the Bandra-Worli Sea Link is a cable-stayed bridge that connects Bandra in the western suburbs to Worli in South Mumbai. Visitors can drive along the bridge, admire the engineering feat, and enjoy panoramic views of the Arabian Sea and Mumbai's skyline.",Architectural Marvel,Free entry,,,0.8442,Maharastra
2131,Jijamata Udyaan (Rani Baug),"Formerly known as Victoria Gardens, Jijamata Udyaan is Mumbai's oldest zoo and botanical garden. Visitors can explore diverse flora and fauna, enjoy children's play areas, and learn about conservation efforts.",Park & Zoo,₹50 - ₹200 per person,50.0,200.0,0.6808,Maharastra
2132,Mount Mary Church,"A historic Roman Catholic church in Bandra, Mount Mary Church is dedicated to Mother Mary. Visitors can attend Mass, offer prayers, and experience the tranquility of the church's surroundings amidst stunning seaside views.",Religious Site,Free entry donations welcome,,,0.8126,Maharastra
2133,Chhatrapati Shivaji Maharaj Terminus,"A UNESCO World Heritage Site, Chhatrapati Shivaji Maharaj Terminus (CSMT) is a historic railway station known for its Victorian Gothic architecture and bustling atmosphere. Visitors can marvel at the intricate details of the station's facade and interior.",Historical Landmark,Free entry,,,0.5267,Maharastra
2134,Nehru Centre,"A cultural complex in Mumbai, the Nehru Centre hosts art exhibitions, science workshops, and cultural events throughout the year. Visitors can explore interactive exhibits, attend lectures, and engage in educational activities for all ages.",Cultural Center,Varies based on event,,,0.34,Maharastra
2135,Worli Sea Face,"A scenic promenade along the Arabian Sea, Worli Sea Face offers stunning views of the sea and Mumbai's skyline. Visitors can enjoy leisurely walks, watch the sunset, and relax amidst the tranquil ambiance of the coastline.",Scenic Spot,Free entry,,,0.836,Maharastra
2136,Knesset Eliyahoo Synagogue,"Located in the heart of Mumbai's bustling Colaba neighborhood, the Knesset Eliyahoo Synagogue is one of the city's oldest and most beautiful synagogues. Visitors can admire the synagogue's architecture, learn about Jewish culture, and attend prayer services.",Religious Site,Free entry,,,0.807,Maharastra
2137,Global Pagoda Vipassana Meditation Centre,"Set amidst tranquil surroundings in Gorai, the Global Pagoda Vipassana Meditation Centre is dedicated to the practice of Vipassana meditation. Visitors can participate in meditation courses, explore the pagoda's architecture, and experience inner peace.",Religious Site,Free entry donations welcome,,,0.7717,Maharastra
2138,Chor Bazaar,"One of the largest flea markets in Mumbai, Chor Bazaar is a treasure trove of antiques, vintage items, and unique collectibles. Visitors can bargain for goods, explore narrow lanes filled with shops, and discover hidden gems amidst the chaos.",Market,Varies based on purchases,,,-0.1779,Maharastra
2139,Flora Fountain,"A historic fountain located in the bustling Fort area of Mumbai, Flora Fountain is a popular landmark known for its grand architecture and ornate design. Visitors can admire the fountain's beauty, take photographs, and soak in the vibrant atmosphere.",Historical Landmark,Free entry,,,0.9468,Maharastra
2140,Nehru Science Centre,"A popular science museum in Mumbai, the Nehru Science Centre offers interactive exhibits, educational programs, and science demonstrations for visitors of all ages. Visitors can explore topics ranging from astronomy to robotics.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.4215,Maharastra
2141,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community. Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2142,Jahangir Art Gallery,"A renowned art gallery in Mumbai, the Jahangir Art Gallery showcases works by Indian artists across various genres and styles. Visitors can explore art exhibitions, attend cultural events, and appreciate the diverse creativity of Indian art.",Art Gallery,₹50 - ₹200 per person,50.0,200.0,0.6486,Maharastra
2143,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2144,Rajabai Clock Tower,"An iconic landmark in Mumbai, the Rajabai Clock Tower is known for its Gothic architecture and intricate carvings. Visitors can admire the tower's beauty, learn about its history, and enjoy panoramic views of the city from the top.",Historical Landmark,Free entry,,,0.9153,Maharastra
2145,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community. Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2146,Kala Ghoda Art Precinct,"A vibrant cultural district in South Mumbai, the Kala Ghoda Art Precinct is home to art galleries, museums, theaters, and cafes. Visitors can explore contemporary art, attend cultural events, and immerse themselves in Mumbai's creative scene.",Cultural District,Varies based on event,,,0.743,Maharastra
2147,Nehru Planetarium,"An educational and scientific institution in Mumbai, the Nehru Planetarium offers astronomy shows, stargazing sessions, and interactive exhibits on space science. Visitors can learn about the universe, galaxies, and celestial phenomena.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.0,Maharastra
2148,Bandra-Worli Sea Link,"A modern architectural marvel, the Bandra-Worli Sea Link is a cable-stayed bridge that connects Bandra in the western suburbs to Worli in South Mumbai. Visitors can drive along the bridge, admire the engineering feat, and enjoy panoramic views of the Arabian Sea and Mumbai's skyline.",Architectural Marvel,Free entry,,,0.8442,Maharastra
2149,Jijamata Udyaan (Rani Baug),"Formerly known as Victoria Gardens, Jijamata Udyaan is Mumbai's oldest zoo and botanical garden. Visitors can explore diverse flora and fauna, enjoy children's play areas, and learn about conservation efforts.",Park & Zoo,₹50 - ₹200 per person,50.0,200.0,0.6808,Maharastra
2150,Mount Mary Church,"A historic Roman Catholic church in Bandra, Mount Mary Church is dedicated to Mother Mary. Visitors can attend Mass, offer prayers, and experience the tranquility of the church's surroundings amidst stunning seaside views.",Religious Site,Free entry donations welcome,,,0.8126,Maharastra
2151,Chhatrapati Shivaji Maharaj Terminus,"A UNESCO World Heritage Site, Chhatrapati Shivaji Maharaj Terminus (CSMT) is a historic railway station known for its Victorian Gothic architecture and bustling atmosphere. Visitors can marvel at the intricate details of the station's facade and interior.",Historical Landmark,Free entry,,,0.5267,Maharastra
2152,Nehru Centre,"A cultural complex in Mumbai, the Nehru Centre hosts art exhibitions, science workshops, and cultural events throughout the year. Visitors can explore interactive exhibits, attend lectures, and engage in educational activities for all ages.",Cultural Center,Varies based on event,,,0.34,Maharastra
2153,Worli Sea Face,"A scenic promenade along the Arabian Sea, Worli Sea Face offers stunning views of the sea and Mumbai's skyline. Visitors can enjoy leisurely walks, watch the sunset, and relax amidst the tranquil ambiance of the coastline.",Scenic Spot,Free entry,,,0.836,Maharastra
2154,Knesset Eliyahoo Synagogue,"Located in the heart of Mumbai's bustling Colaba neighborhood, the Knesset Eliyahoo Synagogue is one of the city's oldest and most beautiful synagogues. Visitors can admire the synagogue's architecture, learn about Jewish culture, and attend prayer services.",Religious Site,Free entry,,,0.807,Maharastra
2155,Global Pagoda Vipassana Meditation Centre,"Set amidst tranquil surroundings in Gorai, the Global Pagoda Vipassana Meditation Centre is dedicated to the practice of Vipassana meditation. Visitors can participate in meditation courses, explore the pagoda's architecture, and experience inner peace.",Religious Site,Free entry donations welcome,,,0.7717,Maharastra
2156,Chor Bazaar,"One of the largest flea markets in Mumbai, Chor Bazaar is a treasure trove of antiques, vintage items, and unique collectibles. Visitors can bargain for goods, explore narrow lanes filled with shops, and discover hidden gems amidst the chaos.",Market,Varies based on purchases,,,-0.1779,Maharastra
2157,Flora Fountain,"A historic fountain located in the bustling Fort area of Mumbai, Flora Fountain is a popular landmark known for its grand architecture and ornate design. Visitors can admire the fountain's beauty, take photographs, and soak in the vibrant atmosphere.",Historical Landmark,Free entry,,,0.9468,Maharastra
2158,Nehru Science Centre,"A popular science museum in Mumbai, the Nehru Science Centre offers interactive exhibits, educational programs, and science demonstrations for visitors of all ages. Visitors can explore topics ranging from astronomy to robotics.",Science Museum,₹50 - ₹300 per person,50.0,300.0,0.4215,Maharastra
2159,Khotachiwadi,"A historic village in South Mumbai, Khotachiwadi is known for its charming Portuguese-style houses, narrow lanes, and vibrant community. Visitors can take guided walks, interact with locals, and experience the old-world charm of Mumbai.",Cultural Heritage,Free entry,,,0.872,Maharastra
2160,Jahangir Art Gallery,"A renowned art gallery in Mumbai, the Jahangir Art Gallery showcases works by Indian artists across various genres and styles. Visitors can explore art exhibitions, attend cultural events, and appreciate the diverse creativity of Indian art.",Art Gallery,₹50 - ₹200 per person,50.0,200.0,0.6486,Maharastra
2161,Sanjay Gandhi National Park,"One of the largest urban parks in the world, Sanjay Gandhi National Park offers a refreshing escape from the bustling city life of Mumbai. Visitors can explore dense forests, spot wildlife like leopards and deer, and visit the Kanheri Caves.",Nature Destination,₹50 - ₹300 per person,50.0,300.0,0.4939,Maharastra
2162,Rajabai Clock Tower,"An iconic landmark in Mumbai, the Rajabai Clock Tower is known for its Gothic architecture and intricate carvings. Visitors can admire the tower's beauty, learn about its history, and enjoy panoramic views of the city from the top.",Historical Landmark,Free entry,,,0.9153,Maharastra
